Группа (подтип драйвера);Поле;Каналов;Пример тега (без префикса Барановичи-1.BN1_MCA1.);Сейчас у шлюза (controllers.yaml);В архиве 11–15.06.2026;Предлагаемый тип;Почему;Уверенность;Исправление (заполнить);Комментарий
Параметры_станции;PAR_MAIN[*].P_TM_CHKC;1;Параметры_станции.OBJECT1.PAR_MAIN[22].P_TM_CHKC;—;нет данных;FLOAT;параметры объекта в контроллере — saved_params<float> / run_time_params_float, в архиве дробные;высокая;;
Параметры_станции;PAR_MAIN[*].P_TM_CIRC_RR;1;Параметры_станции.OBJECT1.PAR_MAIN[23].P_TM_CIRC_RR;—;нет данных;FLOAT;параметры объекта в контроллере — saved_params<float> / run_time_params_float, в архиве дробные;высокая;;
Параметры_станции;PAR_MAIN[*].P_VTANKK;1;Параметры_станции.OBJECT1.PAR_MAIN[26].P_VTANKK;—;нет данных;FLOAT;параметры объекта в контроллере — saved_params<float> / run_time_params_float, в архиве дробные;высокая;;
Параметры_станции;PAR_MAIN[*].P_VTANKS;1;Параметры_станции.OBJECT1.PAR_MAIN[25].P_VTANKS;—;нет данных;FLOAT;параметры объекта в контроллере — saved_params<float> / run_time_params_float, в архиве дробные;высокая;;
Параметры_станции;PAR_MAIN[*].P_VTANKW;1;Параметры_станции.OBJECT1.PAR_MAIN[27].P_VTANKW;—;нет данных;FLOAT;параметры объекта в контроллере — saved_params<float> / run_time_params_float, в архиве дробные;высокая;;
Параметры_станции;PAR_MAIN[*].P33;1;Параметры_станции.OBJECT1.PAR_MAIN[33].P33;—;нет данных;FLOAT;параметры объекта в контроллере — saved_params<float> / run_time_params_float, в архиве дробные;высокая;;
Параметры_станции;PAR_MAIN[*].P34;1;Параметры_станции.OBJECT1.PAR_MAIN[34].P34;—;нет данных;FLOAT;параметры объекта в контроллере — saved_params<float> / run_time_params_float, в архиве дробные;высокая;;
Параметры_станции;PAR_MAIN[*].P35;1;Параметры_станции.OBJECT1.PAR_MAIN[35].P35;—;нет данных;FLOAT;параметры объекта в контроллере — saved_params<float> / run_time_params_float, в архиве дробные;высокая;;
Редактируемый_рецепт_линии_N;REC_PAR[*];720;Редактируемый_рецепт_линии_1.OBJECT1.REC_PAR[59];—;нет данных;FLOAT;параметры объекта в контроллере — saved_params<float> / run_time_params_float, в архиве дробные;высокая;;
Статистика_линии_N;RT_PAR_F[*];108;Статистика_линии_4.OBJECT4.RT_PAR_F[130];—;9 кан., 80521 зап., 0 … 6418, есть дробные;FLOAT;параметры объекта в контроллере — saved_params<float> / run_time_params_float, в архиве дробные;высокая;;
Управляющие_каналы_линии_N;CMD;6;Управляющие_каналы_линии_4.OBJECT4.CMD;—;нет данных;INT32;save_device пишет %d, в архиве STATE −41…1, OPER 0…555 — целые;высокая;;
Управляющие_каналы_линии_N;CUR_PRG;6;Управляющие_каналы_линии_1.OBJECT1.CUR_PRG;—;нет данных;STRING;save_device пишет в кавычках (%s), в базе каналов флаг «Строковый» ошибочно 0;высокая;;
Управляющие_каналы_линии_N;CUR_REC;6;Управляющие_каналы_линии_4.OBJECT4.CUR_REC;—;нет данных;STRING;save_device пишет в кавычках (%s), в базе каналов флаг «Строковый» ошибочно 0;высокая;;
Управляющие_каналы_линии_N;LOADED_REC;6;Управляющие_каналы_линии_6.OBJECT6.LOADED_REC;—;нет данных;STRING;save_device пишет в кавычках (%s), в базе каналов флаг «Строковый» ошибочно 0;высокая;;
Управляющие_каналы_линии_N;OPER;6;Управляющие_каналы_линии_6.OBJECT6.OPER;—;3 кан., 2777 зап., 0 … 555, только целые, разных >40;INT32;save_device пишет %d, в архиве STATE −41…1, OPER 0…555 — целые;высокая;;
Управляющие_каналы_линии_N;PRG_LIST;6;Управляющие_каналы_линии_6.OBJECT6.PRG_LIST;—;нет данных;STRING;save_device пишет в кавычках (%s), в базе каналов флаг «Строковый» ошибочно 0;высокая;;
Управляющие_каналы_линии_N;REC_LIST;6;Управляющие_каналы_линии_5.OBJECT5.REC_LIST;—;нет данных;STRING;save_device пишет в кавычках (%s), в базе каналов флаг «Строковый» ошибочно 0;высокая;;
Управляющие_каналы_линии_N;STATE;6;Управляющие_каналы_линии_2.OBJECT2.STATE;—;3 кан., 778 зап., -41 … 1, только целые, разных 13;INT32;save_device пишет %d, в архиве STATE −41…1, OPER 0…555 — целые;высокая;;
